NAME,AIRCRAFT_MODEL, TAIL REGISTRATION,TOTAL MILES FLOWN, TOTAL FLIGHTS, TOTAL FUEL USED , TOTAL FLIGHT TIME , TOTAL CO2 POLLUTION 
(CLICK TO ENLARGE)Ron DeSantis is an American politician and attorney who is the current Governor of Florida. He is criticized for his unwavering support of conservative policies and his association with former PresidentDonald Trump. The private jet used by DeSantis is owned by the state of Florida and is used for government business.Flight History for Ron DeSantisRon DeSantis,Cessna Citation Latitude,N943FL,"182,339 miles",626,"230,310 gallons",30 days9 hours50 minutes,"2,580metric tons"
(CLICK TO ENLARGE)Mark Cuban is an American entrepreneur and television personality. He is most famous for being the owner of theDallas Mavericksand for his appearances on the reality showShark Tank. Cuban has an estimated net worth of over $4 billion.Flight History for Mark CubanMark Cuban,Bombardier Global Express,N921MT,"175,965 miles",179,"213,160 gallons",18 days7 hours17 minutes,"2,634metric tons"
"(CLICK TO ENLARGE)Elon Musk is a brilliant visionary and innovative businessman who has made significant contributions to the fields of technology and space exploration. He is the founder and Chief Engineer ofSpaceX, the CEO ofTesla Motors, and the Chief Technology Officer ofTwitter. Musk’s desire to hide his private jet flight history bysuspending Jack Sweeneyis the main reason this website was created, proving thatThe Streisand Effectis real. He owns two private jets, aGulfstream G6tail registrationN628TSand a Gulfstream G5 tail registrationN272BG. Elon Musk’s net worth is estimated to be over $170 billion, making him one of the richest people in the world.Flight History for Elon MuskElon Musk (plane #2)",Gulfstream V,N272BG,"173,900 miles",126,"149,130 gallons",16 days16 hours20 minutes,"1,997metric tons"
"(CLICK TO ENLARGE)Jim Carrey is an actor and comedian, he is best known for his dynamic performances in popular movies such asThe Mask,Ace Ventura: Pet Detective. Carey has an estimated net worth of $180 million.Flight History for Jim CarreyJim Carrey",Gulfstream V,N162JC,"173,065 miles",184,"170,010 gallons",18 days23 hours30 minutes,"2,291metric tons"
"(CLICK TO ENLARGE)Jerry Jones is an American businessman and owner of theDallas Cowboys. Under Jones’ ownership, the Cowboys have won three Super Bowl championships and have become one of the most valuable sports franchises in the world, worth an estimated $5 billion. Jones’ net worth is estimated to be over $8 billion.Flight History for Jerry JonesJerry Jones",Gulfstream V,N1DC,"164,956 miles",141,"140,480 gallons",15 days15 hours52 minutes,"1,881metric tons"
"(CLICK TO ENLARGE)Under Armouris an American company that is known for its high-quality sports and fitness wear. Under Armour clothing is designed to keep athletes cool, comfortable and dry through a combination of fabric and technology, the company has an estimated value of $9 billion.Flight History for Under Armour CorporationUnder Armour Corporation",Gulfstream V,N96UA,"162,981 miles",166,"162,430 gallons",18 days3 hours57 minutes,"2,177metric tons"
(CLICK TO ENLARGE)Steven Spielberg is an American filmmaker and entertainment icon. He is best known for inventing the Hollywood blockbuster and being the most commercially successful film director of all time. Spielberg co-foundedDreamWorks SKGwithDavid Geffenand Jeffrey Katzenberg. His net worth is estimated to be $4 billion.Flight History for Steven SpielbergSteven Spielberg,"(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N900KS,"162,174 miles",107,"182,100 gallons",15 days3 hours7 minutes,"1,819metric tons"
"(CLICK TO ENLARGE)Dr Phil (Phil McGraw) is an American TV personality best known for his nationally syndicated talk show ""Dr Phil"". While Dr Phil does have a Doctorate in Psychology, he is no longer licensed as a psychologist. He stopped renewing his license in 2006, and there are a lot rumors and unanswered questions as to why that happened (source:EverydayPsychology.com). Dr Phil’s estimated net worth is $460 million.Flight History for Dr. PhilDr. Phil",Gulfstream IV,N4DP,"158,582 miles",135,"179,720 gallons",16 days17 hours36 minutes,"2,424metric tons"
"(CLICK TO ENLARGE)Michael Bloomberg is an American politician,entrepreneur,andclimate change hypocrite. When he was mayor of NYC he acted like a petty tyrant and tried to make it illegal for stores to sell large soft drinks (source:Reuters). Today he keeps busylecturing people about making sacrifices for climate change,while he owns8 mansions,4 cars,1helicopter,a4 story luxury yacht,and 3 private jets (N5MV,N8AGandN47EG). Bloomberg’s estimated net worth is over 59 billion.Flight History for Michael BloombergMichael Bloomberg (plane #3)",Dassault Falcon 900,N8AG,"157,945 miles",155,"117,560 gallons",16 days3 hours39 minutes,"1,569metric tons"
"(CLICK TO ENLARGE)David Geffen is an American Entertainment Industry Leader. He is best known for foundingAsylum Records,Geffen Records, and was a co-founder ofDreamworks SKGwithSteven Spielbergand Jefferey Katzenberg. Geffen is one of the most successful and influential figures in the entertainment industry, and is estimated to have a net worth of over $10 billion.Flight History for David GeffenDavid Geffen","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N221DG,"154,240 miles",88,"172,700 gallons",14 days8 hours23 minutes,"1,721metric tons"
"(CLICK TO ENLARGE)Taylor Swift is a singer, songwriter, and actress known for her earworm pop-country hits and relatable lyrics. She has won numerous accolades throughout her career, including 11 Grammys. While she is often criticized for excessive private jet usage, celebrities likeJay ZandBill GatesandMichael Bloombergare much worse. Taylor Swift owns two private jets, a Dassault Falcon 900 tail registrationN898TSand a Dassault Falcon 7X tail registrationN621MM. Swift’s estimated net worth is $365 million.Flight History for Taylor SwiftTaylor Swift (plane #1)",Dassault Falcon 7X,N621MM,"148,980 miles",136,"119,030 gallons",15 days13 hours8 minutes,"1,397metric tons"
"(CLICK TO ENLARGE)Mark Wahlberg is an American actor and entertainer. He rose to fame as a rapper with the groupMarky Mark and the Funky Bunch. Eventually, Wahlberg transitioned to acting, where he has since become a prominent figure in multiple Hollywood blockbuster movies includingTransformers: Age of Extinction. Wahlberg has an estimated net worth of $350 million.Flight History for Mark WahlbergMark Wahlberg",Bombardier Global Express,N143MW,"144,185 miles",102,"176,610 gallons",15 days2 hours39 minutes,"2,181metric tons"
"(CLICK TO ENLARGE)Blake Shelton is an American country music singer and television personality. He has won several awards throughout his career, including sevenAcademy of Country Music Awardsand sixCountry Music Association Awardsand is also known for his role as a coach on the singing competition show,The Voice. Shelton’s estimated net worth is $100 million.Flight History for Blake SheltonBlake Shelton",Gulfstream IV,N958TB,"141,130 miles",136,"172,240 gallons",16 days2 hours11 minutes,"2,317metric tons"
"(CLICK TO ENLARGE)Judge Judy, (Judith Sheindlin) is an American retired judge who is most famous for hosting her own courtroom TV show ""Judge Judy"" Judge Judy is known for her no-nonsense attitude and witty remarks while presiding over cases on the show. Her estimated net worth is $440 million.Flight History for Judge JudyJudge Judy",Cessna Citation 750,N555QB,"136,813 miles",95,"99,040 gallons",12 days4 hours18 minutes,898metric tons
"(CLICK TO ENLARGE)Googleis a multinational technology and advertising company founded by Larry Page andSergey Brin.Google is best known for its search engine, which is supported by it’ aggressive andprivacy invading contextual advertising modelthat follows users across websites, onto streaming platforms and mobile devices.Google’s net worth is estimated to be over $1 trillion.Flight History for GoogleGoogle",Gulfstream V,N10XG,"134,010 miles",78,"115,090 gallons",12 days21 hours32 minutes,"1,540metric tons"
"(CLICK TO ENLARGE)Ronald Perelman is an American businessman, financier and investor. He made his first fortune acquiring a series of local television stations, which he later sold toRupert Murdochthat became theFox Network. Perelman currently owns a range of companies, includingRetailMeNot,RevlonandScientific Games, which manufactures products for the gambling industry. His net worth is estimated to be over $4 billion.Flight History for Ronald PerelmanRonald Perelman","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N838MF,"132,034 miles",125,"156,460 gallons",13 days35 minutes,"1,563metric tons"
"(CLICK TO ENLARGE)Dan Bilzerian is an American internet personality and professional poker player, famous for his lavish lifestyle and social media presence. He is known for his extravagant spending habits, which include luxury homes, private jets, and an extensive collection of firearms. Bilzerian has an estimated net worth of $200 million.Flight History for Dan BilzerianDan Bilzerian",Gulfstream IV,N701DB,"130,779 miles",93,"149,500 gallons",13 days22 hours5 minutes,"2,007metric tons"
"(CLICK TO ENLARGE)Caesars Palace Casino, located on the Las Vegas Strip, is known for its luxurious accommodations, high-end dining options, and expansive gaming floor featuring a variety of slot machines and table games. Caesars Palace Casino will often use it’s corporate jet to fly big players to it’s casino. Caesars Palace Casino has an estimated net worth of over $4 billion.Flight History for Caesars Palace CasinoCaesars Palace Casino",Gulfstream V,N898CE,"118,821 miles",145,"117,720 gallons",13 days4 hours23 minutes,"1,579metric tons"
"(CLICK TO ENLARGE)Rupert Murdoch is a newspaper publisher and media entrepreneur. He is the founder of News Corporation, a global media company that includesFox Network,The Wall Street Journal,Investors Business DailyandHarperCollins. Murdoch’s estimated net worth is over $16 billion.Flight History for Rupert MurdochRupert Murdoch","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N898NC,"116,947 miles",90,"148,110 gallons",12 days7 hours50 minutes,"1,491metric tons"
"(CLICK TO ENLARGE)Peter Thiel is an American entrepreneur, venture capitalist, and hedge fund manager who is most famous for co-foundingPayPal. He also foundedPalantira data mining and analysis company that is widely criticized for it’s privacy invasive techniques of gathering data. Thiel has an estimated net worth of over $3 billion.Flight History for Peter ThielPeter Thiel",Gulfstream V,N878DB,"108,212 miles",69,"97,090 gallons",10 days19 hours11 minutes,"1,299metric tons"
"(CLICK TO ENLARGE)Larry Ellison is an American businessman investor,, he is best known as the founder and former CEO ofOracle Technologies, and remains the Executive Chairman on their Board of Directors. He is also known forowning 98% of the land on Lanai, the sixth-largest island in the Hawaiian Archipelago. Ellison was also an early investor inElon Musk’scompany,Tesla Motors. His estimated net worth is $121 billion, putting him in the top 10 of richest people in the world.Flight History for Larry EllisonLarry Ellison","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N817GS,"107,886 miles",82,"130,850 gallons",11 days41 minutes,"1,313metric tons"
(CLICK TO ENLARGE)Tommy Hilfiger is an American fashion designer known for his eponymous brand which he founded in 1985. He is best known for his preppy and classic American style clothing. Hilfiger has an estimated net worth of $450 million.Flight History for Tommy HilfigerTommy Hilfiger,Dassault Falcon 900,N818TH,"104,667 miles",104,"78,830 gallons",10 days19 hours16 minutes,"1,049metric tons"
"(CLICK TO ENLARGE)Kid Rock is an American rapper and singer-songwriter. He is best known for his unique blend of hip-hop, rock and country music. Kid Rock’s estimated net worth is $100 million.Flight History for Kid RockKid Rock",Bombardier Challenger 600,N71KR,"86,831 miles",168,"72,910 gallons",10 days11 hours44 minutes,"1,024metric tons"
"(CLICK TO ENLARGE)Floyd Mayweather is a retired American boxer who is considered one of the greatest boxers of all time. He is known for his undefeated record of 50 wins and 0 losses, earning him the nickname ""Money Mayweather"". Mayweather is also known for his flashy lifestyle, including his numerous luxury cars and private jets, his estimated net worth $450 million.Flight History for Floyd MayweatherFloyd Mayweather",Gulfstream IV,N151SD,"83,740 miles",89,"108,230 gallons",10 days1 hour53 minutes,"1,462metric tons"
"(CLICK TO ENLARGE)Drake is a Canadian rapper, singer and record producer. He is most famous for his chart-topping hits that are a blend of hip hop, R&B, and pop. He has won numerous awards, including four Grammy Awards. Drake has an estimated net worth of $180 million.Flight History for DrakeDrake",Boeing 767,N767CJ,"77,026 miles",116,"1,029,900 gallons",8 days11 hours23 minutes,"3,437metric tons"
(CLICK TO ENLARGE)Harrison Ford is an American actor who is most famous for his roles in popular films such asStar WarsandIndiana Jones. He is an aviation enthusiast and has a pilots license. LikeTom Cruisehe also owns vintage aircraft. Ford has an estimated net worth of $300 million.Flight History for Harrison FordHarrison Ford,Cessna Citation Sovereign,N6GU,"75,662 miles",58,"35,250 gallons",8 days15 hours13 minutes,629metric tons
"(CLICK TO ENLARGE)Michael Jordan is a former professional basketball player who is considered one of the greatest athletes of all time. He played for theChicago BullsandWashington Wizardsthroughout his career, winning six NBA championships and five Most Valuable Player awards. Jordan is also known for his iconicAir Jordan sneakersmade byNike. Jordan has an estimated net worth of over $1 billion.Flight History for Michael JordanMichael Jordan",Gulfstream V,N236MJ,"49,230 miles",62,"47,590 gallons",5 days7 hours5 minutes,638metric tons
"(CLICK TO ENLARGE)Tyler Perry is an American actor and filmmaker, he is best known for playing his character Mabel""Madea""Simmons. He has also developed several television shows including Tyler Perry’s House of Payne. Tyler Perry’s net worth is estimated at 1.4 billion.Flight History for Tyler PerryTyler Perry",Embraer E-190,N378TP,"47,440 miles",42,"91,990 gallons",5 days3 hours7 minutes,"1,232metric tons"
Taylor Swift (sold),Dassault Falcon 900,N898TS,"40,513 miles",41,"26,470 gallons",3 days20 hours33 minutes,356metric tons
"(CLICK TO ENLARGE)Tiger Woods is an American Golfer, and is widely reguarded as one of the greatest golfers of all time. His professional golf acomplishments and tumultuous personal life have made him one of the world’s most recognized professional athletes. Tyler Perry’s net worth is estimated at 1.3 billion.Flight History for Tiger WoodsTiger Woods",Gulfstream V,N517TW,"23,790 miles",30,"27,300 gallons",3 days1 hour27 minutes,364metric tons
Jeff Bezos (plane #1),"(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N758PB,"22,150 miles",8,"21,140 gallons",1 day18 hours10 minutes,212metric tons
"(CLICK TO ENLARGE)Elton John is a British musician, singer-songwriter, and composer who rose to fame in the 1970s. He has sold over 300 million records, has won multiple Grammy Awards, Tonys, and an Academy Award, some of his most famous songs are ""Rocket Man"", ""Tiny Dancer"" and ""Your Song"". John has an estimated net worth of over $500 million.Flight History for Elton JohnElton John",Bombardier Global Express,M-EDZE,"18,859 miles",51,"30,990 gallons",2 days15 hours33 minutes,384metric tons
"(CLICK TO ENLARGE)Playboy Corporation is a privately held adult media and lifestyle company that was founded by Hugh Hefner. The company is best known for its iconic Playboy magazine, which features articles, stories, and photographs of nude or semi-nude women. However, Playboy has expanded its reach over the years and now encompasses a broad range of products and services, including licensing, digital media, consumer products, and entertainment venues. The Playboy Corporation has an estimated net worth of $50 million.Flight History for Playboy CorporationPlayboy Corporation",Bombardier Global Express,N950PB,"17,116 miles",15,"18,650 gallons",1 day14 hours26 minutes,232metric tons
"(CLICK TO ENLARGE)Magic Johnson is an American former professional basketball player and businessman. He played for theLos Angeles Lakersfor 13 seasons and is widely regarded as one of the greatest basketball players of all time. After retiring from basketball, Johnson became a successful businessman with holdings in entertainment, real estate, and restaurants. Johnson has an estimated net worth of $600 million.Flight History for Magic JohnsonMagic Johnson",Gulfstream II,N32MJ,"9,640 miles",7,"7,660 gallons",1 day3 hours6 minutes,82metric tons
"(CLICK TO ENLARGE)Jeff Bezos is an American entrepreneur, and the founder and former CEO ofAmazon.com. He is currently the Executive Chairman on Amazon’s board of directors. He also ownsThe Washington Postand the founder of the private space exploration companyBlue Origin. Bezo’s estimated net worth is $113 billion making him one of the richest men in the world.Flight History for Jeff BezosJeff Bezos (plane #2)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N758PB,"4,416 miles",4,"4,490 gallons",9 hours6 minutes,44metric tons
(CLICK TO ENLARGE)Phil Mickelson is an American professional golfer who has won numerousPGA Tourevents and major championships over the course of his career. He is known for his aggressive playing style and his ability to hit impressive shots from difficult positions on the course. Mickelson has an estimated net worth of around $400 million.Flight History for Phil MickelsonPhil Mickelson,Gulfstream V,N800PM,"2,004 miles",2,"1,400 gallons",3 hours48 minutes,18metric tons
"MORE INFORMATIONGot a question about our how our Celebrity Private Jet Tracker works, see ourFlight Tracker FAQ.Flight Data provided byAirplanes.live,ADSB.fiandADSB Exchange, click theicon to see the flight on ADSB Exchange.Aircraft fuel consumption estimates are based on manufacturer data fromGulfstream,Bombardier,Dassault,Learjet,PrivateJetCardComparisons.comandICCT 2CO Emissions From Commercial Aviation.Airplane carbon emission estimates are based on data fromParamount Carbon Offset CalculatorandICCT 2CO Emissions From Commercial Aviation.",,,,,,,
"(CLICK TO ENLARGE)Luke Bryan is American country music artist, who is most famous for his chart-topping songs and energetic live performances. He is also known for his role as a judge on popular reality TV shows such asAmerican IdolandThe Voice. Bryan has an estimated net worth of $140 million.Flight History for Luke BryanLuke Bryan",Learjet 60,N506AB,"439,594 milesGot a question about our how our Celebrity Private Jet Tracker works, see ourFlight Tracker FAQ(1)Flight Data provided byAirplanes.live,ADSB.fiandADSB Exchange, click theicon to see the flight on ADSB Exchange.(2)",752,"267,510 gallonsAircraft fuel consumption estimates are based on manufacturer data fromGulfstream,Bombardier,Dassault,Learjet,PrivateJetCardComparisons.comandICCT 2CO Emissions From Commercial Aviation(3)",54 days17 hours17 minutes,"4,007metric tonsAirplane carbon emission estimates are based on data fromParamount Carbon Offset CalculatorandICCT 2CO Emissions From Commercial Aviation(4)"
(CLICK TO ENLARGE)Ron DeSantis is an American politician and attorney who is the current Governor of Florida. He is criticized for his unwavering support of conservative policies and his association with former PresidentDonald Trump. The private jet used by DeSantis is owned by the state of Florida and is used for government business.Flight History for Ron DeSantisRon DeSantis,Cessna Citation Latitude,N943FL,"182,339 miles",626,"230,310 gallons",30 days9 hours50 minutes,"2,580metric tons"
"(CLICK TO ENLARGE)Eric Schmidt is a former technology executive who served as the CEO ofGoogle, and then Executive Chairman ofAlphabet, Google’s parent company. He is a long-time member of the World Economic Forum, and is deeply involved with theirArtificial Intelligence Agenda. Schmidt was exposed using his wealth and influence to meddle in political affairs bypaying the salaries of two dozen staffers working in the Biden administration, coincidentally the staffers that were formulating Biden’s Artificial Intelligence Policies. Schmidt has an estimated net worth of $19 billion.Flight History for Eric SchmidtEric Schmidt","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N652WE,"704,738 miles",583,"824,480 gallons",68 days4 hours26 minutes,"8,239metric tons"
"(CLICK TO ENLARGE)Steve Wynn is an renowned American businessman who is best known for his contributions to the hospitality and gaming industries. He is the founder ofWynn Resorts, one of the world’s largest casino hotel chains. Wynn has an estimated net worth of $3 billion.Flight History for Steve WynnSteve Wynn",Gulfstream V,N88WR,"285,214 miles",541,"326,420 gallons",36 days15 hours49 minutes,"4,395metric tons"
"(CLICK TO ENLARGE)Donald Trump is a real estate developer, entrepreneur an former US President, he is known for his controversial persona and outspoken nature. He gained fame with his reality TV show ""The Apprentice"". Trump’s net worth is estimated to be over $2 billion.Flight History for Donald TrumpDonald Trump",Boeing 757,N757AF,"367,541 miles",453,"5,640,600 gallons",40 days20 hours50 minutes,"32,344metric tons"
"(CLICK TO ENLARGE)Sean Combs, known professionally as P. Diddy, is an American rapper, songwriter, producer, and entrepreneur. He is most famous for his successful music career, but has also made a name for himself in the fashion and liquor industries. P Diddy’s estimated net worth is $885 million.Flight History for P. DiddyP. Diddy",Gulfstream V,N1969C,"491,659 miles",391,"457,670 gallons",51 days3 hours5 minutes,"6,150metric tons"
"(CLICK TO ENLARGE)Michael Bloomberg is an American politician,entrepreneur,andclimate change hypocrite. When he was mayor of NYC he acted like a petty tyrant and tried to make it illegal for stores to sell large soft drinks (source:Reuters). Today he keeps busylecturing people about making sacrifices for climate change,while he owns8 mansions,4 cars,1helicopter,a4 story luxury yacht,and 3 private jets (N5MV,N8AGandN47EG). Bloomberg’s estimated net worth is over 59 billion.Flight History for Michael BloombergMichael Bloomberg (plane #1)",Dassault Falcon 900,N5MV,"407,734 miles",349,"297,040 gallons",40 days12 hours48 minutes,"3,953metric tons"
"(CLICK TO ENLARGE)Elon Musk is a brilliant visionary and innovative businessman who has made significant contributions to the fields of technology and space exploration. He is the founder and Chief Engineer ofSpaceX, the CEO ofTesla Motors, and the Chief Technology Officer ofTwitter. Musk’s desire to hide his private jet flight history bysuspending Jack Sweeneyis the main reason this website was created, proving thatThe Streisand Effectis real. He owns two private jets, aGulfstream G6tail registrationN628TSand a Gulfstream G5 tail registrationN272BG. Elon Musk’s net worth is estimated to be over $170 billion, making him one of the richest people in the world.Flight History for Elon MuskElon Musk (plane #1)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N628TS,"491,811 miles",346,"545,240 gallons",45 days10 hours32 minutes,"5,443metric tons"
(CLICK TO ENLARGE)Travis Scott is an American rapper and songwriter who gained popularity in the early 2010s. His creative and unique musical style have earned him global recognition as one of the most influential artists in hip-hop industry. Scott’s estimated net worth is around $80 million.Flight History for Travis ScottTravis Scott,Embraer E-190,N713TS,"460,504 miles",342,"872,540 gallons",49 days4 hours7 minutes,"11,818metric tons"
"(CLICK TO ENLARGE)Michael Bloomberg is an American politician,entrepreneur,andclimate change hypocrite. When he was mayor of NYC he acted like a petty tyrant and tried to make it illegal for stores to sell large soft drinks (source:Reuters). Today he keeps busylecturing people about making sacrifices for climate change,while he owns8 mansions,4 cars,1helicopter,a4 story luxury yacht,and 3 private jets (N5MV,N8AGandN47EG). Bloomberg’s estimated net worth is over 59 billion.Flight History for Michael BloombergMichael Bloomberg (plane #2)",Dassault Falcon 900,N47EG,"294,524 miles",332,"230,500 gallons",31 days14 hours50 minutes,"3,064metric tons"
"(CLICK TO ENLARGE)Bill Gates is an American businessman, software developer, investor, author, and philanthropist. He is best known as the co-founder ofMicrosoft Corporation. He has said his use of private jets is ""ok"", because he invests billions into fighting climate change (Source:CBS News). He owns twoGulfstream G6 jetstail registrationN887WMandN194WM. Gates known as one of the richest people in the world, his estimated net worth is over $100 billion.Flight History for Bill GatesBill Gates (plane #1)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N887WM,"500,112 miles",319,"558,760 gallons",46 days10 hours26 minutes,"5,586metric tons"
(CLICK TO ENLARGE)Steve Ballmer is an American businessman and investor. Ballmer is the former CEO of Microsoft and is the current owner of Los Angeles Clippers. He has an estimated net worth of $96 billion.Flight History for Steve BallmerSteve Ballmer,"(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N709DS,"321,879 miles",296,"382,860 gallons",31 days21 hours18 minutes,"3,830metric tons"
"(CLICK TO ENLARGE)Mark Zuckerberg is an American internet entrepreneur, he is best known for co-founding the social media networkFacebook, where he is currently the Chief Executive Officer. Zuckerberg has an estimated net worth of $83 billion.Flight History for Mark ZuckerbergMark Zuckerberg","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N68885,"348,449 miles",294,"439,710 gallons",36 days15 hours1 minute,"4,390metric tons"
"(CLICK TO ENLARGE)Tom Cruise is an American actor and producer, known for his roles in blockbuster movies such asTop GunandMission: Impossible. Cruise is an aviation enthusiast aand has a pilots license. LikeHarrison Fordhe also owns vintage aircraft. Cruise has an estimated net worth of $570 million.Flight History for Tom CruiseTom Cruise",Bombardier Challenger 350,N350XX,"283,654 miles",291,"246,580 gallons",31 days2 hours8 minutes,"2,272metric tons"
"(CLICK TO ENLARGE)Jay Z is an American entertainer, he is best known for being a rapper, songwriter and music producer. He has won 22 Grammys and sold over 100 million records sold worldwide, making him one of the best-selling musicians of all time. Jay Z’s net worth is estimated at $1 billion.Flight History for Jay ZJay Z",Gulfstream V,N444SC,"386,642 miles",291,"341,990 gallons",38 days5 hours11 minutes,"4,594metric tons"
